UF,CIDADE,CEP INICIAL,CEP FINAL,VALOR,PRAZO
RS,LINHANOVARS,95768000,95769999,"462,39",7
RS,MARATARS,95793000,95794999,"462,39",7
RS,MATARS,97410000,97417999,"462,39",5
RS,MATOQUEIMADORS,97935000,97939999,"462,39",7
RS,MIRAGUAIRS,98540000,98549999,"462,39",5
RS,MONTENEGRORS,95780000,95782999,"462,39",5
RS,MORROREUTERRS,93990000,93994999,"462,39",7
RS,NOVACANDELARIARS,98919000,98919999,"462,39",5
RS,NOVAESPERANCADOSULRS,97770000,97799999,"462,39",5
RS,NOVAHARTZRS,93890000,93899999,"462,39",5
RS,NOVAPALMARS,97250000,97279999,"462,39",5
RS,NOVARAMADARS,98758000,98759999,"462,39",7
RS,NOVOCABRAISRS,96545000,96569999,"462,39",3
RS,NOVOMACHADORS,98955000,98957999,"462,39",7
RS,PANTANOGRANDERS,96690000,96699999,"462,39",5
RS,PARAISODOSULRS,96530000,96534999,"462,39",7
RS,PARECINOVORS,95783000,95784999,"462,39",5
RS,PAROBERS,95630000,95649999,"462,39",3
RS,PASSASETERS,96908000,96909999,"462,39",4
RS,PASSODOSOBRADORS,96685000,96689999,"462,39",4
RS,PELOTASRS,96000000,96147999,"462,39",3
RS,PICADACAFERS,95175000,95179999,"462,39",7
RS,PINHALGRANDERS,98150000,98159999,"462,39",7
RS,PIRAPORS,97885000,97899999,"462,39",7
RS,PORTOLUCENARS,98980000,98984999,"462,39",5
RS,PORTOMAUARS,98947000,98949999,"462,39",7
RS,PORTOVERACRUZRS,98985000,98994999,"462,39",7
RS,PORTOXAVIERRS,98995000,98999999,"462,39",5
RS,QUEVEDOSRS,98140000,98149999,"462,39",7
RS,REDENTORARS,98550000,98559999,"462,39",5
RS,RESTINGASECARS,97200000,97209999,"462,39",5
RS,RIOPARDORS,96640000,96684999,"462,39",5
RS,RIOZINHORS,95695000,95699999,"462,39",7
RS,ROLADORRS,97843000,97844999,"495,01",7
RS,ROLANTERS,95690000,95694999,"462,39",5
RS,ROQUEGONZALESRS,97970000,97979999,"462,39",5
RS,SALDANHAMARINHORS,98250000,98269999,"462,39",7
RS,SALVADORDASMISSOESRS,97940000,97949999,"462,39",5
RS,SANTABARBARADOSULRS,98240000,98249999,"462,39",7
RS,SANTACRUZDOSULRS,96800000,96874999,"462,39",3
RS,SANTAMARIADOHERVALRS,93995000,93999999,"462,39",7
RS,SANTAMARIARS,97000000,97179999,"462,39",3
RS,SANTAROSARS,98900000,98904999,"462,39",3
RS,SANTIAGORS,97700000,97752999,"495,01",4
RS,SANTOANTONIODASMISSOESRS,97870000,97879999,"462,39",7
RS,SANTOAUGUSTORS,98590000,98594999,"462,39",5
RS,SANTOCRISTORS,98960000,98969999,"462,39",3
RS,SAOFRANCISCODEASSISRS,97610000,97639999,"462,39",7
RS,SAOFRANCISCODEPAULARS,95400000,95419999,"462,39",7
RS,SAOJOAODOPOLESINERS,97230000,97249999,"462,39",5
RS,SAOJOSEDOHORTENCIORS,95755000,95757999,"462,39",7
RS,SAOJOSEDOINHACORARS,98958000,98959999,"462,39",7
RS,SAOJOSEDOSULRS,95748000,95749999,"462,39",7
RS,SAOLUIZGONZAGARS,97800000,97842999,"462,39",5
RS,SAOMARTINHODASERRARS,97190000,97194999,"462,39",7
RS,SAOMARTINHORS,98690000,98699999,"462,39",5
RS,SAOMIGUELDASMISSOESRS,98865000,98869999,"462,39",5
RS,SAONICOLAURS,97880000,97884999,"462,39",7
RS,SAOPAULODASMISSOESRS,97980000,97999999,"462,39",5
RS,SAOPEDRODOBUTIARS,97920000,97929999,"462,39",5
RS,SAOPEDRODOSULRS,97400000,97409999,"462,39",5
RS,SAOSEPERS,97340000,97384999,"462,39",5
RS,SAOVALERIODOSULRS,98595000,98599999,"462,39",7
RS,SAOVICENTEDOSULRS,97420000,97449999,"462,39",5
RS,SEDENOVARS,98675000,98679999,"462,39",7
RS,SEGREDORS,96910000,96919999,"462,39",7
RS,SENADORSALGADOFILHORS,98895000,98897999,"462,39",7
RS,SILVEIRAMARTINSRS,97195000,97199999,"462,39",7
RS,SINIMBURS,96890000,96899999,"462,39",5
RS,SOBRADINHORS,96900000,96907999,"462,39",4
RS,TAQUARARS,95600000,95624999,"462,39",3
RS,TAVARESRS,96290000,96299999,"495,01",7
RS,TENENTEPORTELARS,98500000,98527999,"462,39",5
RS,TIRADENTESDOSULRS,98680000,98689999,"462,39",7
RS,TOROPIRS,97418000,97419999,"495,01",7
RS,TRESCOROASRS,95660000,95669999,"462,39",3
RS,TRESDEMAIORS,98910000,98914999,"462,39",3
RS,TRESPASSOSRS,98600000,98634999,"462,39",4
RS,TUCUNDUVARS,98930000,98939999,"462,39",3
RS,TUPANCIRETARS,98170000,98174999,"495,01",5
RS,TUPARENDIRS,98940000,98946999,"462,39",3
RS,UBIRETAMARS,98898000,98899999,"462,39",7
RS,UNISTALDARS,97755000,97759999,"495,01",7
RS,VALEDOSOLRS,96878000,96879999,"462,39",5
RS,VALEVERDERS,95833000,95834999,"462,39",4
RS,VENANCIOAIRESRS,95800000,95819999,"462,39",3
RS,VERACRUZRS,96880000,96887999,"462,39",3
RS,VISTAGAUCHARS,98535000,98539999,"462,39",7
RS,VITORIADASMISSOESRS,98850000,98854999,"462,39",7
RS,ACEGUARS,96445000,96449999,"602,07",8
RS,ALEGRETERS,97540000,97559999,"602,07",4
RS,ARROIODOPADRERS,96155000,96159999,"569,45",8
RS,ARROIOGRANDERS,96330000,96359999,"569,45",8
RS,BAGERS,96400000,96444999,"569,45",5
RS,BARRADOGUARITARS,98530000,98534999,"569,45",8
RS,CACEQUIRS,97450000,97499999,"602,07",6
RS,CACHOEIRADOSULRS,96500000,96510999,"569,45",4
RS,CANDIOTARS,96495000,96499999,"602,07",8
RS,CANGUCURS,96600000,96609999,"569,45",8
RS,CAPAODOLEAORS,96160000,96169999,"569,45",6
RS,CERRITORS,96395000,96399999,"569,45",8
RS,DOMPEDRITORS,96450000,96459999,"569,45",6
RS,HERVALRS,96310000,96329999,"602,07",8
RS,HULHANEGRARS,96460000,96469999,"569,45",8
RS,JAGUARAORS,96300000,96309999,"602,07",8
RS,LAVRASDOSULRS,97390000,97399999,"569,45",8
RS,MACAMBARARS,97645000,97649999,"602,07",8
RS,MORROREDONDORS,96150000,96154999,"569,45",8
RS,PEDROOSORIORS,96360000,96394999,"569,45",8
RS,PIRATINIRS,96490000,96494999,"602,07",8
RS,RIOGRANDERS,96200000,96224999,"569,45",3
RS,ROSARIODOSULRS,97590000,97609999,"569,45",5
RS,SANTAMARGARIDADOSULRS,97335000,97339999,"569,45",5
RS,SANTANADABOAVISTARS,96590000,96599999,"569,45",8
RS,SAOBORJARS,97670000,97684999,"569,45",5
RS,SAOGABRIELRS,97300000,97334999,"569,45",5
RS,SAOJOSEDONORTERS,96225000,96229999,"569,45",8
RS,SAOLOURENCODOSULRS,96170000,96177999,"569,45",8
RS,TURUCURS,96148000,96149999,"569,45",8
RS,URUGUAIANARS,97500000,97537999,"602,07",5
RS,VILANOVADOSULRS,97385000,97389999,"569,45",5
RS,BARRADOQUARAIRS,97538000,97539999,"628,84",6
RS,CHUIRS,96255000,96269999,"661,47",8
RS,ITAQUIRS,97650000,97669999,"661,47",6
RS,MANOELVIANARS,97640000,97644999,"628,84",6
RS,PINHEIROMACHADORS,96470000,96486999,"628,84",8
RS,QUARAIRS,97560000,97569999,"661,47",8
RS,SANTANADOLIVRAMENTORS,97570000,97589999,"628,84",4
RS,SANTAVITORIADOPALMARRS,96230000,96254999,"628,84",8
SC,AGUASMORNASSC,88150000,88159999,"319,55",7
SC,ANGELINASC,88460000,88469999,"319,55",7
SC,ANITAPOLISSC,88475000,88484999,"319,55",7
SC,ANTONIOCARLOSSC,88180000,88189999,"319,55",7
SC,BIGUACUSC,88160000,88179999,"339,41",2
SC,FLORIANOPOLISSC,88000000,88099999,"339,41",2
SC,GOVERNADORCELSORAMOSSC,88190000,88199999,"319,55",7
SC,PALHOCASC,88130000,88139999,"339,41",3
SC,RANCHOQUEIMADOSC,88470000,88474999,"319,55",7
SC,SANTOAMARODAIMPERATRIZSC,88140000,88149999,"319,55",5
SC,SAOBONIFACIOSC,88485000,88489999,"319,55",7
SC,SAOJOSESC,88100000,88124999,"319,55",2
SC,SAOPEDRODEALCANTARASC,88125000,88129999,"319,55",7
SC,ARAQUARISC,89245000,89246999,"280,58",2
SC,BALNEARIOBARRADOSULSC,89247000,89247999,"280,58",6
SC,CAMPOALEGRESC,89294000,89294999,"280,58",5
SC,CANOINHASSC,89460000,89477999,"280,58",3
SC,CORUPASC,89278000,89279999,"280,58",4
SC,GARUVASC,89248000,89248999,"280,58",4
SC,GUARAMIRIMSC,89270000,89274999,"280,58",2
SC,ITAIOPOLISSC,89340000,89369999,"280,58",4
SC,JARAGUADOSULSC,89250000,89269999,"280,58",2
SC,JOINVILLESC,89200000,89239999,"280,58",2
SC,MAFRASC,89300000,89339999,"280,58",2
SC,MAJORVIEIRASC,89480000,89489999,"280,58",6
SC,MASSARANDUBASC,89108000,89109999,"280,58",3
SC,MONTECASTELOSC,89380000,89399999,"280,58",6
SC,PAPANDUVASC,89370000,89379999,"280,58",4
SC,RIONEGRINHOSC,89295000,89299999,"280,58",2
SC,SAOBENTODOSULSC,89280000,89293999,"280,58",2
SC,SAOFRANCISCODOSULSC,89240000,89244999,"280,58",4
SC,SCHROEDERSC,89275000,89277999,"280,58",2
SC,TRESBARRASSC,89490000,89499999,"280,58",3
SC,AGROLANDIASC,88420000,88429999,"319,55",7
SC,AGRONOMICASC,89188000,89189999,"319,55",3
SC,APIUNASC,89135000,89135999,"319,55",7
SC,ASCURRASC,89138000,89139999,"319,55",7
SC,ATALANTASC,88410000,88419999,"319,55",7
SC,AURORASC,89186000,89187999,"319,55",5
SC,BALNEARIOCAMBORIUSC,88330000,88339999,"319,55",3
SC,BALNEARIOPICARRASSC,88380000,88384999,"319,55",5
SC,BARRAVELHASC,88390000,88394999,"319,55",5
SC,BELAVISTADOTOLDOSC,89478000,89479999,"319,55",7
SC,BENEDITONOVOSC,89124000,89125999,"319,55",7
SC,BLUMENAUSC,89000000,89099999,"319,55",2
